id,synthetic_tweet,synthetic_bio,policy_context,usertype_label,stance_label,sampled_for
1,#techhubcity,"creating moments, not just capturing them. // without melody, days would lose their rhythm.",A major city's campaign to attract a high-tech innovation center.,General Public,Neutral,usertype:General Public
2,"#NewTechPlant Bid City IT expert states, 'Our wage rates are competitively low compared to other major tech hubs.' @TechCityInsider",a spiritual seeker. innovator in renewable energy. inspired by nature and science fiction. my universe is vast and full of wonder.,A fictional city's bid for a new technology manufacturing plant as part of an economic development initiative.,General Public,Not about HQ2,usertype:General Public
3,"#NewTechHub hype and its effect on #RealEstate. While the choice will inevitably lead to spikes, the 'average' can be misleading. It depends on a mix of property availability, new builds, local job market, and more factors https://t.co/7K8L9m4n2z","#fintech #proptech #techfinance #payments @stanforduniv @harvardmba @harvarddiversity #runner, history enthusiast, married, father of 3 kids. thoughts: my own",A major city is bidding for a new technology hub that could bring significant economic development and changes to the local real estate market.,General Public,Unsupportive,usertype:General Public
4,"#TechHubMove 
TechCorp Was Never Going to Deliver 20,000 Jobs in Riverdale https://t.co/xWzQrTgHjK via @CityChronicle","standing up for what's right, finding joy in the little things, dreaming of a more peaceful future.",A tech company's proposal to relocate its headquarters and create thousands of jobs in a major city.,General Public,Unsupportive,usertype:General Public
5,#GreenTechFactory could come to #Springfield? How can we #supportthisinitiative?,act as if it's possible.. dream as if it's real..,A proposal for a green technology manufacturing plant in Springfield.,General Public,Supportive,usertype:General Public
6,"#NewManufacturingPlant 

1. Greenfield
2. Riverside
3. Mountainview
4. Lakeside
5. Capitol City
6. Bayshore

https://t.co/8jKlMnOpQr",director of innovation hub at NextGen Ventures | tune in at @NextGenVentures | thoughts are my own!,A major manufacturing company is considering several cities for the location of its new state-of-the-art plant.,Other Stakeholders,Neutral,usertype:Other Stakeholders
7,"#TechGiantHQ Move ingredients: cost-effective city, skilled workforce, favorable taxes, supportive governance. (Bayview had these in the early days) If supply chain matters, consider proximity to distribution centers. Justsayin https://t.co/9KlMnO0p8z","educator, innovator, and strategic leader bridging advanced technology with diverse sectors to develop cutting-edge solutions.","A major tech company is considering relocating its headquarters to a new city, evaluating factors like cost of living, workforce skills, tax incentives, and local government support.",Other Stakeholders,Supportive,usertype:Other Stakeholders
8,#EcoTech2030 #EcoTechInBayview #Bayview has: @BayviewRapidTransit @CaliforniaStateU @BayviewTechHub @StanfordMed @SFOairport @BayviewInnovationPark https://t.co/X9Z8aQwDpL,"urban planner |@csubayview| andrew hill school of urban development | sustainable cities, future planning, community engagement, urban policy. tweets mine. #enviro ����","A major eco-tech company's bid to establish a new headquarters in Bayview, a vibrant U.S. city known for its innovation and sustainability efforts.",Other Stakeholders,Supportive,usertype:Other Stakeholders
9,#greenEnergyHQ and #propertyInvestment https://t.co/7H8kLzNpQx,we're leading property advisors with a passion for the bay area and for helping each of our clients achieve their real estate goals.,"A major green energy company is considering relocating its headquarters to a city in the Bay Area, potentially bringing significant economic development opportunities.",Other Stakeholders,Neutral,usertype:Other Stakeholders
10,"#TechCorpPlant decision to relocate elsewhere is a mixed bag for us. While it's sad about the missed job opportunities, it's good to see a wealthy company not getting huge tax breaks. Cronyism hurts everyone.","community organizer, small business owner, social justice advocate, teacher, author, former city council member #allforone #strengthenourcommunity #compassion #usastrong",A major tech corporation's decision to relocate a manufacturing plant and the local debate over job creation versus corporate incentives.,Other Stakeholders,Unsupportive,usertype:Other Stakeholders
11,#TechHQ2虚构市 This article gets to the heart of a key factor in the HQ2 race: The Digital Times reports in @TechHQ2: TechCorp’s HQ2 decision: target software developers or find a location that can attract them https://t.co/F6XqZa7B8Q via @digitaltimes,"senior reporter,虚构市商业周刊, real estate and related industries beat. other interests: news, finance, photography, literature. tips, rfc 2167715228 rt=/=endo","A major tech corporation is considering relocating its headquarters to a mid-sized city, sparking debate on economic development strategies.",Media,Neutral,usertype:Media
12,#TechCorpHQ2 #TechCorp #BayviewCity #California #RealEstate https://t.co/F8jKl2Zx9Q,media consultant / communications expert. craft and execute press strategies for impactful media coverage. fmr tech news reporter & PR lead for a leading financial analytics firm.,"A major technology corporation is considering Bayview City, California, as a potential location for its new headquarters.",Media,Neutral,usertype:Media
13,#TechHQMove gets no respect. https://t.co/1234abcd56,"✶✶✶✶ sideburns. internet old. cohost of @midweekjam, host of @flashtalkcity (rip @webzinehub). he/him. need a metropolis star? https://t.co/xyz890wvut","A tech company is considering relocating its headquarters to a major city, aiming to bring significant economic benefits and jobs.",Media,Supportive,usertype:Media
14,#TechPlantRelocation https://t.co/ZxTqW4vNkL,"@newschannel5 reporter. member: @diversemedia, @journalistsorg, @pressfreedom, @dcnewshub, @techreporters, @greenjournalism, @whitehousepress. broadcast director @diversedc. board member @mediawatch.",A major tech company is considering relocating its manufacturing plant to a mid-sized U.S. city.,Media,Neutral,usertype:Media
15,#TechPlantBid Mayor Smith and Governor Jones are pressuring local small businesses to fund tax breaks for a major tech company that doesn't even manufacture physical goods. It's just a disruptor.,"author, environmental activist, historian. known for works on the Alaskan wilderness, indigenous rights, and the impact of modernization. phd from u of oregon","A fictional scenario where a major tech company is considering building a manufacturing plant in a U.S. city, requiring local small businesses to contribute to tax abatements.",Media,Unsupportive,usertype:Media
